holdout_state,n_test,n_pos,roc_auc,pr_auc,recall_at_0.5
arunachal_pradesh,7134,1189,0.9693014392514505,0.8660063864846206,0.9571068124474348
assam,15924,2654,0.9816876063714096,0.9219348374393245,0.975885455915599
manipur,3654,609,0.9757787538320917,0.9092252625897512,0.9573070607553367
meghalaya,3888,648,0.988195635192806,0.937667474435594,0.9953703703703703
mizoram,3606,601,0.6461377460195292,0.5132161648942233,0.37603993344425957
nagaland,6276,1046,0.9853346445897875,0.9312247233454142,0.9579349904397706
sikkim,3108,518,0.766501319300547,0.6037032617854318,0.48455598455598453
tripura,1800,300,0.7178022222222223,0.25061046171854173,0.01
