rank,unit_id,region,latitude,longitude,slope_degrees,pred_failure_prob,model_uncertainty,priority_score,current_risk_level,is14680_movement_type,is14680_recommended_measure
81,2211,sikkim,27.816821157071267,88.35545940530714,27.7,0.699,0.36,0.252,GREEN,Complex (combined movement types),Combined system
82,2109,sikkim,27.827416201860355,88.35919523265875,29.3,0.781,0.323,0.252,ORANGE,Complex (combined movement types),Combined system
83,2407,sikkim,27.77139344370099,88.82833378725972,29.8,0.659,0.382,0.252,ORANGE,Complex (combined movement types),Combined system
84,2130,sikkim,27.813153534351134,88.41670200564192,26.7,0.839,0.3,0.252,GREEN,Complex (combined movement types),Combined system
85,2348,sikkim,27.772330427118177,88.40482160190659,31.5,0.768,0.328,0.252,ORANGE,Complex (combined movement types),Combined system
86,3387,sikkim,27.580731148966645,88.77747715470612,29.9,0.806,0.312,0.251,ORANGE,Complex (combined movement types),Combined system
87,2300,sikkim,27.790761233907855,88.80572790176774,33.9,0.693,0.362,0.251,ORANGE,Complex (combined movement types),Combined system
88,1266,sikkim,27.967347903383267,88.70930047407919,32.1,0.84,0.299,0.251,ORANGE,Complex (combined movement types),Combined system
89,1060,sikkim,28.030714454924752,88.58247073755146,26.8,0.838,0.299,0.251,GREEN,Complex (combined movement types),Combined system
90,1906,sikkim,27.84481207091211,88.35796311179463,28.2,0.821,0.305,0.25,ORANGE,Complex (combined movement types),Combined system
91,3621,sikkim,27.5329675419649,88.76730514389612,32.9,0.747,0.335,0.25,ORANGE,Complex (combined movement types),Combined system
92,1223,sikkim,27.978862609680387,88.62153930467836,32.1,0.588,0.425,0.25,ORANGE,Complex (combined movement types),Combined system
93,3030,sikkim,27.655620245067063,88.5839532863279,34.4,0.814,0.307,0.25,ORANGE,Complex (combined movement types),Combined system
94,1231,sikkim,27.971716547562263,88.65927972577889,33.7,0.833,0.3,0.25,ORANGE,Complex (combined movement types),Combined system
95,2897,sikkim,27.68213120667815,88.65782765297213,36.5,0.855,0.292,0.25,ORANGE,Complex (combined movement types),Combined system
96,3114,sikkim,27.63179971662497,88.72230023564362,37.8,0.712,0.35,0.25,ORANGE,Complex (combined movement types),Combined system
97,2052,sikkim,27.814658679204356,88.77105147813722,27.6,0.862,0.289,0.249,GREEN,Complex (combined movement types),Combined system
98,2524,sikkim,27.751021109980325,88.38006592416087,30.2,0.627,0.398,0.249,ORANGE,Complex (combined movement types),Combined system
99,2756,sikkim,27.703170902976815,88.57980577617569,37.8,0.695,0.358,0.249,ORANGE,Complex (combined movement types),Combined system
100,1931,sikkim,27.8603149104358,88.66338252652199,29.3,0.87,0.286,0.249,ORANGE,Complex (combined movement types),Combined system
