datetime,precipitation_mm,soil_moisture,humidity_pct,temperature_c,rainfall_6h,rainfall_24h,rainfall_72h
2018-01-03 12:00:00+05:30,0.4,0.432,86.57129,13.702499,1.0000000074505806,7.700000047683716,
2018-01-03 13:00:00+05:30,0.6,0.436,87.42898,13.652499,1.6000000312924385,8.100000068545341,
2018-01-03 14:00:00+05:30,0.2,0.437,88.27328,13.3525,1.8000000342726707,8.300000071525574,
2018-01-03 15:00:00+05:30,0.0,0.436,93.355484,13.2525,1.8000000342726707,8.200000070035458,
2018-01-03 16:00:00+05:30,0.0,0.436,97.72807,12.5525,1.7000000327825546,6.000000022351742,
2018-01-03 17:00:00+05:30,0.0,0.443,93.56588,11.2525,1.2000000327825546,5.1000000461936,
2018-01-03 18:00:00+05:30,0.0,0.443,91.39529,11.152499,0.8000000268220901,5.1000000461936,
2018-01-03 19:00:00+05:30,0.0,0.442,88.92921,10.6025,0.20000000298023224,4.1000000461936,
2018-01-03 20:00:00+05:30,0.0,0.441,85.101494,10.6025,0.0,3.6000000461935997,
2018-01-03 21:00:00+05:30,0.0,0.441,82.51862,10.452499,0.0,3.6000000461935997,
2018-01-03 22:00:00+05:30,0.0,0.441,80.01358,10.402499,0.0,3.6000000461935997,
2018-01-03 23:00:00+05:30,0.0,0.44,81.31332,9.8025,0.0,3.3000000342726707,11.200000122189522
2018-01-04 00:00:00+05:30,0.0,0.439,82.109436,9.452499,0.0,2.9000000283122063,11.200000122189522
2018-01-04 01:00:00+05:30,0.0,0.439,83.20898,9.152499,0.0,2.2000000402331352,11.200000122189522
2018-01-04 02:00:00+05:30,0.0,0.438,83.765594,9.0025,0.0,1.8000000342726707,11.200000122189522
2018-01-04 03:00:00+05:30,0.0,0.438,80.542244,10.2525,0.0,1.8000000342726707,11.200000122189522
2018-01-04 04:00:00+05:30,0.0,0.438,81.58625,9.7525,0.0,1.8000000342726707,11.200000122189522
2018-01-04 05:00:00+05:30,0.0,0.436,86.88887,7.9525,0.0,1.8000000342726707,11.200000122189522
2018-01-04 06:00:00+05:30,0.0,0.436,87.45849,7.6025004,0.0,1.8000000342726707,11.200000122189522
2018-01-04 07:00:00+05:30,0.0,0.436,87.17254,10.902499,0.0,1.8000000342726707,11.200000122189522
2018-01-04 08:00:00+05:30,0.0,0.435,74.583954,14.152499,0.0,1.8000000342726707,11.200000122189522
2018-01-04 09:00:00+05:30,0.0,0.434,65.64746,15.402499,0.0,1.8000000342726707,11.200000122189522
2018-01-04 10:00:00+05:30,0.0,0.432,64.12127,16.4025,0.0,1.7000000327825546,11.200000122189522
2018-01-04 11:00:00+05:30,0.0,0.43,67.964516,16.8525,0.0,1.2000000327825546,11.200000122189522
2018-01-04 12:00:00+05:30,0.0,0.429,67.83139,17.3025,0.0,0.8000000268220901,11.200000122189522
2018-01-04 13:00:00+05:30,0.0,0.427,68.48793,17.202501,0.0,0.20000000298023224,11.200000122189522
2018-01-04 14:00:00+05:30,0.0,0.426,77.657364,15.9525,0.0,0.0,11.200000122189522
2018-01-04 15:00:00+05:30,0.0,0.425,78.13257,15.7025,0.0,0.0,11.200000122189522
2018-01-04 16:00:00+05:30,0.0,0.425,86.0613,14.3025,0.0,0.0,11.200000122189522
2018-01-04 17:00:00+05:30,0.0,0.425,95.157814,11.7525,0.0,0.0,11.200000122189522
2018-01-04 18:00:00+05:30,0.0,0.425,94.21014,11.652499,0.0,0.0,11.200000122189522
2018-01-04 19:00:00+05:30,0.1,0.425,92.07856,12.3025,0.10000000149011612,0.10000000149011612,11.300000123679638
2018-01-04 20:00:00+05:30,0.0,0.425,90.265434,12.3525,0.10000000149011612,0.10000000149011612,11.300000123679638
2018-01-04 21:00:00+05:30,0.0,0.424,85.25802,12.0525,0.10000000149011612,0.10000000149011612,11.300000123679638
2018-01-04 22:00:00+05:30,0.0,0.424,84.24485,10.652499,0.10000000149011612,0.10000000149011612,11.300000123679638
2018-01-04 23:00:00+05:30,0.0,0.424,85.86298,9.5525,0.10000000149011612,0.10000000149011612,11.300000123679638
2018-01-05 00:00:00+05:30,0.0,0.424,87.28945,9.0025,0.10000000149011612,0.10000000149011612,11.300000123679638
2018-01-05 01:00:00+05:30,0.0,0.423,86.41654,9.202499,0.0,0.10000000149011612,11.300000123679638
2018-01-05 02:00:00+05:30,0.0,0.423,82.73822,9.952499,0.0,0.10000000149011612,11.300000123679638
2018-01-05 03:00:00+05:30,0.0,0.423,82.725746,9.8525,0.0,0.10000000149011612,11.300000123679638
2018-01-05 04:00:00+05:30,0.0,0.423,83.501724,9.202499,0.0,0.10000000149011612,11.300000123679638
2018-01-05 05:00:00+05:30,0.0,0.422,88.106316,8.0525,0.0,0.10000000149011612,11.300000123679638
2018-01-05 06:00:00+05:30,0.0,0.422,82.86103,8.652499,0.0,0.10000000149011612,11.300000123679638
2018-01-05 07:00:00+05:30,0.0,0.421,80.175606,11.5525,0.0,0.10000000149011612,11.300000123679638
2018-01-05 08:00:00+05:30,0.0,0.421,63.785267,14.902499,0.0,0.10000000149011612,11.300000123679638
2018-01-05 09:00:00+05:30,0.0,0.419,59.810894,15.8525,0.0,0.10000000149011612,11.300000123679638
2018-01-05 10:00:00+05:30,0.0,0.418,59.776924,16.5525,0.0,0.10000000149011612,11.300000123679638
2018-01-05 11:00:00+05:30,0.0,0.416,63.781876,16.8025,0.0,0.10000000149011612,11.300000123679638
2018-01-05 12:00:00+05:30,0.0,0.415,66.002266,17.0525,0.0,0.10000000149011612,8.600000075995922
2018-01-05 13:00:00+05:30,0.0,0.413,66.232834,17.1025,0.0,0.10000000149011612,8.40000007301569
2018-01-05 14:00:00+05:30,0.0,0.412,72.49577,16.202501,0.0,0.10000000149011612,8.40000007301569
2018-01-05 15:00:00+05:30,0.0,0.412,78.5531,15.0525,0.0,0.10000000149011612,8.300000071525574
2018-01-05 16:00:00+05:30,0.0,0.412,90.02537,13.152499,0.0,0.10000000149011612,6.100000023841858
2018-01-05 17:00:00+05:30,0.0,0.411,89.96958,12.402499,0.0,0.10000000149011612,5.200000047683716
2018-01-05 18:00:00+05:30,0.0,0.411,91.71759,11.402499,0.0,0.10000000149011612,5.200000047683716
2018-01-05 19:00:00+05:30,0.0,0.411,91.39204,11.1025,0.0,0.0,4.200000047683716
2018-01-05 20:00:00+05:30,0.0,0.411,90.45571,10.8025,0.0,0.0,3.700000047683716
2018-01-05 21:00:00+05:30,0.0,0.411,89.22983,10.6025,0.0,0.0,3.700000047683716
2018-01-05 22:00:00+05:30,0.0,0.411,86.84482,10.5525,0.0,0.0,3.700000047683716
2018-01-05 23:00:00+05:30,0.0,0.411,87.015,9.2525,0.0,0.0,3.400000035762787
2018-01-06 00:00:00+05:30,0.0,0.411,89.01352,7.9525,0.0,0.0,3.0000000298023224
2018-01-06 01:00:00+05:30,0.0,0.411,89.26814,7.3025002,0.0,0.0,2.3000000417232513
2018-01-06 02:00:00+05:30,0.0,0.41,86.54904,7.5525002,0.0,0.0,1.9000000357627869
2018-01-06 03:00:00+05:30,0.0,0.41,85.11452,8.0525,0.0,0.0,1.9000000357627869
2018-01-06 04:00:00+05:30,0.0,0.41,86.36618,8.702499,0.0,0.0,1.9000000357627869
2018-01-06 05:00:00+05:30,0.0,0.409,90.98126,9.5525,0.0,0.0,1.9000000357627869
2018-01-06 06:00:00+05:30,0.0,0.409,86.33887,11.3525,0.0,0.0,1.9000000357627869
2018-01-06 07:00:00+05:30,0.0,0.409,85.26872,12.152499,0.0,0.0,1.9000000357627869
2018-01-06 08:00:00+05:30,0.0,0.409,77.52271,13.402499,0.0,0.0,1.9000000357627869
2018-01-06 09:00:00+05:30,0.0,0.408,70.25913,14.452499,0.0,0.0,1.9000000357627869
2018-01-06 10:00:00+05:30,0.0,0.407,65.78278,15.0025,0.0,0.0,1.8000000342726707
2018-01-06 11:00:00+05:30,0.0,0.406,66.31444,15.402499,0.0,0.0,1.3000000342726707
2018-01-06 12:00:00+05:30,0.0,0.405,63.93138,15.552499,0.0,0.0,0.9000000283122063
2018-01-06 13:00:00+05:30,0.0,0.404,65.21704,15.4525,0.0,0.0,0.30000000447034836
2018-01-06 14:00:00+05:30,0.1,0.403,73.6691,14.6025,0.10000000149011612,0.10000000149011612,0.20000000298023224
2018-01-06 15:00:00+05:30,0.0,0.403,76.30417,13.8525,0.10000000149011612,0.10000000149011612,0.20000000298023224
2018-01-06 16:00:00+05:30,0.0,0.403,79.839836,13.0025,0.10000000149011612,0.10000000149011612,0.20000000298023224
2018-01-06 17:00:00+05:30,0.0,0.403,91.32021,10.0025,0.10000000149011612,0.10000000149011612,0.20000000298023224
2018-01-06 18:00:00+05:30,0.0,0.403,88.86287,9.8025,0.10000000149011612,0.10000000149011612,0.20000000298023224
2018-01-06 19:00:00+05:30,0.0,0.403,87.02461,9.3525,0.10000000149011612,0.10000000149011612,0.20000000298023224
2018-01-06 20:00:00+05:30,0.0,0.403,86.97637,8.8525,0.0,0.10000000149011612,0.20000000298023224
2018-01-06 21:00:00+05:30,0.0,0.403,92.07072,7.0025,0.0,0.10000000149011612,0.20000000298023224
2018-01-06 22:00:00+05:30,0.0,0.403,89.814964,6.3525,0.0,0.10000000149011612,0.20000000298023224
2018-01-06 23:00:00+05:30,0.0,0.403,81.73642,6.6025,0.0,0.10000000149011612,0.20000000298023224
2018-01-07 00:00:00+05:30,0.0,0.403,78.642296,6.7025,0.0,0.10000000149011612,0.20000000298023224
2018-01-07 01:00:00+05:30,0.0,0.403,78.71829,7.2025,0.0,0.10000000149011612,0.20000000298023224
2018-01-07 02:00:00+05:30,0.0,0.403,78.19735,7.4024997,0.0,0.10000000149011612,0.20000000298023224
2018-01-07 03:00:00+05:30,0.0,0.403,76.26989,7.2525,0.0,0.10000000149011612,0.20000000298023224
2018-01-07 04:00:00+05:30,0.0,0.403,73.063835,7.0525002,0.0,0.10000000149011612,0.20000000298023224
2018-01-07 05:00:00+05:30,0.0,0.403,72.55139,5.7025,0.0,0.10000000149011612,0.20000000298023224
2018-01-07 06:00:00+05:30,0.0,0.403,66.60942,7.1525,0.0,0.10000000149011612,0.20000000298023224
2018-01-07 07:00:00+05:30,0.0,0.403,70.33021,9.902499,0.0,0.10000000149011612,0.20000000298023224
2018-01-07 08:00:00+05:30,0.0,0.402,68.61815,12.152499,0.0,0.10000000149011612,0.20000000298023224
2018-01-07 09:00:00+05:30,0.0,0.401,65.34664,13.0025,0.0,0.10000000149011612,0.20000000298023224
2018-01-07 10:00:00+05:30,0.0,0.4,63.961555,13.7525,0.0,0.10000000149011612,0.20000000298023224
2018-01-07 11:00:00+05:30,0.0,0.399,65.386314,14.202499,0.0,0.10000000149011612,0.20000000298023224
2018-01-07 12:00:00+05:30,0.0,0.398,59.869152,14.402499,0.0,0.10000000149011612,0.20000000298023224
2018-01-07 13:00:00+05:30,0.0,0.397,61.510376,14.3025,0.0,0.10000000149011612,0.20000000298023224
2018-01-07 14:00:00+05:30,0.0,0.396,63.7202,13.652499,0.0,0.0,0.20000000298023224
2018-01-07 15:00:00+05:30,0.0,0.395,64.40928,12.8025,0.0,0.0,0.20000000298023224
2018-01-07 16:00:00+05:30,0.0,0.395,76.30864,10.702499,0.0,0.0,0.20000000298023224
2018-01-07 17:00:00+05:30,0.0,0.395,81.95372,8.2525,0.0,0.0,0.20000000298023224
2018-01-07 18:00:00+05:30,0.0,0.395,80.25534,8.202499,0.0,0.0,0.20000000298023224
2018-01-07 19:00:00+05:30,0.0,0.395,79.57457,7.3525004,0.0,0.0,0.10000000149011612
2018-01-07 20:00:00+05:30,0.0,0.395,75.11372,6.7525,0.0,0.0,0.10000000149011612
2018-01-07 21:00:00+05:30,0.0,0.395,69.93786,6.7025,0.0,0.0,0.10000000149011612
2018-01-07 22:00:00+05:30,0.0,0.395,69.43888,6.7025,0.0,0.0,0.10000000149011612
2018-01-07 23:00:00+05:30,0.0,0.395,69.90748,6.5525002,0.0,0.0,0.10000000149011612
2018-01-08 00:00:00+05:30,0.0,0.395,70.10797,6.3025002,0.0,0.0,0.10000000149011612
2018-01-08 01:00:00+05:30,0.0,0.395,68.34509,6.2025,0.0,0.0,0.10000000149011612
2018-01-08 02:00:00+05:30,0.0,0.395,68.08869,6.1525,0.0,0.0,0.10000000149011612
2018-01-08 03:00:00+05:30,0.0,0.395,63.95763,5.8525,0.0,0.0,0.10000000149011612
2018-01-08 04:00:00+05:30,0.0,0.395,61.998657,5.3525,0.0,0.0,0.10000000149011612
2018-01-08 05:00:00+05:30,0.0,0.396,72.783775,4.1525,0.0,0.0,0.10000000149011612
2018-01-08 06:00:00+05:30,0.0,0.396,79.986626,4.3525,0.0,0.0,0.10000000149011612
2018-01-08 07:00:00+05:30,0.0,0.396,76.36943,7.8525004,0.0,0.0,0.10000000149011612
2018-01-08 08:00:00+05:30,0.0,0.395,53.5269,12.0025,0.0,0.0,0.10000000149011612
2018-01-08 09:00:00+05:30,0.0,0.394,50.829445,12.952499,0.0,0.0,0.10000000149011612
2018-01-08 10:00:00+05:30,0.0,0.393,53.562656,13.5525,0.0,0.0,0.10000000149011612
2018-01-08 11:00:00+05:30,0.0,0.392,59.108036,13.8025,0.0,0.0,0.10000000149011612
2018-01-08 12:00:00+05:30,0.0,0.391,62.909214,13.902499,0.0,0.0,0.10000000149011612
2018-01-08 13:00:00+05:30,0.0,0.39,64.8319,13.702499,0.0,0.0,0.10000000149011612
2018-01-08 14:00:00+05:30,0.0,0.389,67.657196,13.152499,0.0,0.0,0.10000000149011612
2018-01-08 15:00:00+05:30,0.0,0.388,71.27608,12.2525,0.0,0.0,0.10000000149011612
2018-01-08 16:00:00+05:30,0.0,0.388,76.65207,11.202499,0.0,0.0,0.10000000149011612
2018-01-08 17:00:00+05:30,0.0,0.388,86.97637,8.8525,0.0,0.0,0.10000000149011612
2018-01-08 18:00:00+05:30,0.0,0.388,87.5565,8.652499,0.0,0.0,0.10000000149011612
2018-01-08 19:00:00+05:30,0.0,0.388,86.3409,8.452499,0.0,0.0,0.10000000149011612
2018-01-08 20:00:00+05:30,0.0,0.388,83.69435,8.402499,0.0,0.0,0.10000000149011612
2018-01-08 21:00:00+05:30,0.0,0.388,81.94066,8.152499,0.0,0.0,0.10000000149011612
2018-01-08 22:00:00+05:30,0.0,0.388,80.205734,7.8525004,0.0,0.0,0.10000000149011612
2018-01-08 23:00:00+05:30,0.0,0.388,78.24368,7.7025,0.0,0.0,0.10000000149011612
2018-01-09 00:00:00+05:30,0.0,0.388,77.63372,7.3025002,0.0,0.0,0.10000000149011612
2018-01-09 01:00:00+05:30,0.0,0.388,77.5862,7.0025,0.0,0.0,0.10000000149011612
2018-01-09 02:00:00+05:30,0.0,0.388,77.280815,6.8025002,0.0,0.0,0.10000000149011612
2018-01-09 03:00:00+05:30,0.0,0.388,76.431915,6.6025,0.0,0.0,0.10000000149011612
2018-01-09 04:00:00+05:30,0.0,0.388,73.73717,6.4525,0.0,0.0,0.10000000149011612
2018-01-09 05:00:00+05:30,0.0,0.389,74.52968,4.9525,0.0,0.0,0.10000000149011612
