source_name,source_link,event_id,event_date,event_time,event_title,event_description,location_description,location_accuracy,landslide_category,landslide_trigger,landslide_size,landslide_setting,fatality_count,injury_count,storm_name,photo_link,notes,event_import_source,event_import_id,country_name,country_code,admin_division_name,admin_division_population,gazeteer_closest_point,gazeteer_distance,submitted_date,created_date,last_edited_date,longitude,latitude
ibnlive.in,http://ibnlive.in.com/news/kerala-landslide-toll-rises-to-five/283319-62-126.html,4480,08/17/2012 12:00:00 AM,,"Kadavoor, Erakulam, Kerala","he death toll in the landslide at Kadavoor in Ernakulam district rose to five on Saturday with the recovery of the body of a man, police said. Heavy rains lashing parts of Central Kerala on Friday had claimed four lives in the region - three in a landslip and another who died of a heart attack after witnessing the incident. Police, fire force and Naval personnel are engaged in search operations since early this morning to recover the body of one more person.","Kadavoor, Erakulam, Kerala",1km,landslide,downpour,medium,unknown,6.0,,,,,glc,4480.0,India,IN,Kerala,37543.0,Kotamangalam,14.26241,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,76.7416,10.0011
daijiworld,http://www.daijiworld.com/news/news_disp.asp?n_id=49760&n_tit=Mangalore:+Landslide+-+Train+Service+to+Bangalore+Stands+Cancelled,709,08/12/2008 12:00:00 AM,,Yedakumeri-Shiribagilu in the Hassan-Mangalore section of the line.,blocked railway line,Yedakumeri-Shiribagilu in the Hassan-Mangalore section of the line.,50km,landslide,rain,medium,unknown,,,,,,glc,709.0,India,IN,Karnataka,24931.0,Sakleshpur,17.06892,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,75.66,12.845
Daji World,http://www.daijiworld.com/news/news_disp.asp?n_id=314023,7127,04/22/2015 04:00:00 PM,,under the third and fourth Padil-Bajal under-bridge railway tracks,"It is learnt that when concrete slabs were being pushed below the tracks, mounds of mud fell from above. Overnight rains on Tuesday are being blamed for this situation.",under the third and fourth Padil-Bajal under-bridge railway tracks,1km,mudslide,downpour,small,above_road,0.0,0.0,,,,glc,7127.0,India,IN,Karnataka,417387.0,Mangalore,6.49607,07/09/2015 08:51:00 PM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,74.8852,12.8659
hisz.rsoe,http://hisz.rsoe.hu/alertmap/site/?pageid=event_update_read&edis_id=FF-20120804-36049-IND&uid=12837,4468,07/22/2012 12:00:00 AM,,"Pulloorampara, Kerala","even people, including five members of a family, were reportedly missing in landslides at various parts of Kannur and Kozhikode districts on Monday evening. The five-member family of Biju of Thundathil house was reportedly washed away at Aanakampoyil at Pulloorampara. There were unconfirmed reports that the body of Biju’s three-and-a-half-year-old son, Kuttan, had been recovered. Two people, identified as Gopalan and Varkey, were reported missing in the landslide at Kodencherry in the district. Rescue operations were going on till late in the night. Heavy rains accompanied by landslides wreaked havoc in Iritty and other high range regions of Kannur district on Monday. Landslides threw life out of gear in Vaniyambara in Ayyankunnu panchayat and in Pulloorampara near Thiruvambadi in Kozhikode. The landslides, besides causing heavy damage to several houses, crops and business establishments, also unleashed flash floods in Vaniyambara and Vallithode. A 10-year-old bridge at Odichikunnu was","Pulloorampara, Kerala",5km,landslide,downpour,medium,unknown,,,,,,glc,4468.0,India,IN,Kerala,28313.0,Mavoor,20.20958,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,76.0376,11.405
India Times,http://timesofindia.indiatimes.com/Bangalore/Woman_killed_in_Nilgiri_landslides/articleshow/2494313.cms,326,10/26/2007 12:00:00 AM,,"Nilgiri, Nondimedu on the Ooty-Coonoor road","20 landslides reported, heavy rains started Friday in district, ls killing woman occurred at 1:30am","Nilgiri, Nondimedu on the Ooty-Coonoor road",25km,landslide,rain,large,unknown,,,,,,glc,326.0,India,IN,Tamil Nadu,98238.0,Ooty,0.97335,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,76.6953,11.4046
www.business-standard.com,http://www.business-standard.com/article/current-affairs/mullaperiyar-dam-near-to-full-landslides-at-naliyani-villanchira-113080700331_1.html,5292,08/07/2013 06:00:00 PM,,"Naliyani, Near Thodupuzha Town","Meanwhile, fresh landslides were reported at two locations at Naliyani, near Thodupuzha town, and at Villanchira, near Neryamangalam. There was no casualty.","Naliyani, Near Thodupuzha Town",5km,landslide,monsoon,medium,unknown,0.0,,,,,glc,5292.0,India,IN,Kerala,11248.0,Idukki,11.1554,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,76.8661,9.835
deccanchronicle,http://www.deccanchronicle.com/channels/cities/regions/madurai/landslide-snaps-kodai-plains-259,4033,11/03/2011 12:00:00 AM,,"Palani-Kodaikanal Ghat road, Kodaikanal","Tourist inflow to Kodaikanal, the princess of hill resorts, remains badly hit, thanks to landslips caused by heavy rainfall. Traffic remains closed on three access routes to the hill station - Palani-Kodaikanal Ghat road, Thandikudi-Kodaikanal and Periyakulam-Kodaikanal (via Adukkam) roads for the last couple of days. The Batlagundu-Kodaikanal ghat road is the only route in use to reach the hill town.Even two days after the occurrence of a landslip caused by torrential showers, traffic remains closed on the Palani-Kodaikanal Ghat road, mostly used by heavy vehicles for transporting building materials to the hills and vegetables to the plains, besides tourists from Kerala and the western belt of Tamil Nadu.An official in the state highways department that is undertaking restoration works said it would take a few more days to restore traffic on the 63 km-long vulnerable ghat road which suffered a massive landslip at the same place and period last year disrupting traffic for almost a mont","Palani-Kodaikanal Ghat road, Kodaikanal",5km,landslide,downpour,medium,unknown,0.0,,,,,glc,4033.0,India,IN,Tamil Nadu,35021.0,Kodaikānāl,2.82998,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,77.5146,10.2445
www.deccanchronicle.com,http://www.deccanchronicle.com/130807/news-current-affairs/article/athirapilly-falls-closed-tourists,5294,08/07/2013 12:00:00 AM,,Ambalappara In Thrissur,"Earlier, the inter-state Athirapilly - Pollachi route via Vazhachal and Malakkapara was closed to traffic due to landslide triggered by rains at Ambalappara  in Thrissur. ",Ambalappara In Thrissur,25km,landslide,monsoon,medium,unknown,,,,,,glc,5294.0,India,IN,Kerala,25436.0,Kuttampuzha,17.19198,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,76.7604,10.3031
The Hindu,http://www.thehindu.com/news/national/tamil-nadu/ghat-road-leading-to-temple-closed-following-landslip/article7831586.ece,8892,10/31/2015 12:00:00 AM,,Arthanareeswarar Temple,"Downpour for about three hours on Saturday evening led to landslip, the second in the last four days, on the ghat road leading to Arthanareeswarar Temple situated atop a hillock in the town in the early hours of Sunday.  Due to sharp showers, landslip was reported near the fourth bend on Thursday. This led to closure of road for traffic and the district administration launched restoration works instantly.  Heavy rainfall lashed Tiruchengode town and the surrounding areas again on Saturday evening. Landslip took place again on Sunday morning, this time near the first bend.  On receiving information, V. Dakshinamoorthy, Collector, rushed to the spot and inspected the entire stretch of the damaged road walking for about a km.        Mahatma, Revenue Divisional Officer, Tiruchengode; Pon Saraswathi, Chairperson, Tiruchengode Municipality, and PWD and HR and CE officials accompanied the Collector.  The Collector said that the Government had sanctioned Rs. 21 lakh for the road restoration wo",Arthanareeswarar Temple,exact,landslide,downpour,small,above_road,0.0,0.0,,,,glc,8892.0,India,IN,Tamil Nadu,87123.0,Tiruchengode,0.82855,07/11/2016 04:55:00 PM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,77.8987,11.374
www.deccanchronicle.com,http://www.deccanchronicle.com/130806/news-current-affairs/article/special-landslides-rain-havoc-kerala,5280,08/05/2013 08:00:00 AM,,"Thadiyambadu Near Painavu, Kerala","At Thadiyambadu near Painavu, two sisters, Josma (16) and Josmy (13), died when mud slipped from a hillock onto their house early on Monday morning. The two were fast asleep in their room. They were students of St George High School, Vazhathope. Their parents, Joseph and Beena, escaped with minor injuries.","Thadiyambadu Near Painavu, Kerala",1km,landslide,monsoon,medium,unknown,2.0,2.0,,,,glc,5280.0,India,IN,Kerala,11248.0,Idukki,3.2126,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,76.9683,9.879
